"","Name","adj.P.Val","P.Value","logFC"
"1050","WNK1",0.00303,0.000451,0.5748397
"1051","TMEM204",0.00307,0.000458,-0.5156864
"1052","CHPT1",0.0031,0.000463,0.7331571
"1053","HK2",0.0031,0.000464,0.5159025
"1054","GABPB1",0.00314,0.00047,0.5007604
"1055","PSMG3",0.00314,0.000471,-0.7056662
"1056","POLR2J4",0.00317,0.000476,0.9367775
"1057","",0.00319,0.000481,0.8209451
"1058","",0.00323,0.000488,0.7102077
"1059","TRAF1",0.00329,0.000497,-0.6494528
"1060","TUBG1",0.00334,0.000506,0.5406798
"1061","PLP2",0.00336,0.00051,0.5690506
"1062","",0.00336,0.000511,0.6097488
"1063","TLR8",0.00337,0.000513,0.8103245
"1064","ETS2",0.00338,0.000515,0.5832928
"1065","DPH3",0.00339,0.000517,0.5051034
"1066","CCDC102A",0.00339,0.000517,-0.6229134
"1067","IL17RA",0.00339,0.000518,0.631197
"1068","CTDSP1",0.00341,0.000522,1.1345664
"1069","FAM83F",0.0035,0.000538,0.7646026
"1070","",0.00351,0.00054,0.6226005
"1071","PTGDR",0.00352,0.000542,-0.8356427
"1072","MCL1",0.00354,0.000547,0.5831448
"1073","HLA-DOA",0.00356,0.000551,-0.6027969
"1074","GRK6",0.0036,0.000557,0.5666869
"1075","EPHB6",0.00365,0.000568,-0.70125
"1076","",0.00368,0.000575,-0.7385171
"1077","",0.00369,0.000576,-0.5867754
"1078","CLEC4A",0.0037,0.000578,0.5474289
"1079","SDPR",0.00373,0.000584,-0.7692398
"1080","EVA1B",0.00378,0.000596,0.6965366
"1081","OCIAD2",0.00384,0.000608,-0.8128993
"1082","RAB34",0.00385,0.000611,0.5305193
"1083","VNN 2.00",0.00386,0.000613,0.5944914
"1084","DNASE1L1",0.00386,0.000613,0.7737261
"1085","ACSL1",0.00387,0.000617,0.8794277
"1086","FAM129B",0.00387,0.000617,0.5104923
"1087","CREBZF",0.00389,0.000621,-0.510102
"1088","",0.00394,0.000632,-0.8038332
"1089","SIPA1L2",0.00395,0.000634,0.9624095
"1090","CAMP",0.00396,0.000635,1.1185428
"1091","TSTA3",0.00398,0.00064,0.9786294
"1092","TIFA",0.00399,0.000641,0.7219393
"1093","CD40LG",0.00401,0.000645,-0.8236996
"1094","MT1E",0.00401,0.000647,0.6462051
"1095","NPL",0.00404,0.000654,0.5207551
"1096","LRG1",0.00406,0.000656,0.798653
"1097","PFAS",0.00406,0.000656,-0.5411818
"1098","LOC401357",0.00407,0.00066,0.5776614
"1099","MCTP1",0.0041,0.000665,0.7989721
"1100","ARSA",0.00411,0.000668,0.6802056
"1101","",0.00416,0.000678,-0.6273357
"1102","CHMP5",0.00416,0.000678,0.6012676
"1103","TM9SF1",0.0042,0.000686,0.6123175
"1104","ECI2",0.00429,0.000703,-0.5605631
"1105","GCH1",0.00431,0.000707,0.5117029
"1106","",0.00435,0.000716,-0.5621866
"1107","",0.00436,0.000718,0.5469588
"1108","SIRPA",0.00437,0.000721,0.549959
"1109","TUBA4A",0.00437,0.000722,-0.6134684
"1110","",0.00437,0.000722,0.6381207
"1111","DAAM1",0.00438,0.000725,-0.6444227
"1112","RPL21P28",0.00443,0.000734,-0.7139712
"1113","GYPE",0.00446,0.000739,1.1692781
"1114","UBXN2B",0.00446,0.000739,0.5150839
"1115","NMT2",0.00446,0.000739,-0.5078423
"1116","PLEKHA1",0.00447,0.000743,-0.5219578
"1117","ANPEP",0.00452,0.000751,0.8427388
"1118","TRAPPC2L",0.00456,0.00076,-0.5358779
"1119","ZNF789",0.00456,0.000761,-0.6123727
"1120","LILRA3",0.00461,0.00077,0.9620702
"1121","",0.00465,0.000778,0.5067314
"1122","CYP2R1",0.00468,0.000785,-0.6587019
"1123","CDC20",0.00469,0.000787,0.7568268
"1124","FCGR2A",0.00469,0.000788,0.6853843
"1125","",0.00469,0.000789,0.5481586
"1126","WRB",0.00472,0.000795,-0.6454489
"1127","",0.00474,0.000799,0.5994824
"1128","",0.00481,0.000813,0.7269546
"1129","",0.00481,0.000813,0.5756264
"1130","MST1",0.00481,0.000813,-0.6078449
"1131","QSOX1",0.00485,0.000821,0.5114744
"1132","NFIL3",0.0049,0.000833,0.6965067
"1133","",0.00492,0.000837,-0.8748058
"1134","GP9",0.00493,0.000839,-0.7029085
"1135","OPA3",0.00494,0.000842,-0.5134658
"1136","",0.00498,0.000851,-0.5790663
"1137","",0.00501,0.000858,-0.5455079
"1138","CDH23",0.00504,0.000864,-0.6090837
"1139","QPCT",0.00508,0.000874,0.717929
"1140","",0.00511,0.00088,-0.6637982
"1141","IL1B",0.00529,0.000916,0.7055243
"1142","SCARNA21",0.00532,0.000924,-0.7465041
"1143","ENOSF1",0.00536,0.000932,-0.6327628
"1144","",0.0054,0.000941,-0.6257814
"1145","",0.0054,0.000942,0.9027839
"1146","RIOK3",0.00542,0.000945,0.699059
"1147","PKM",0.00543,0.000949,0.5896873
"1148","SLC6A6",0.00545,0.000954,0.6258092
"1149","",0.00546,0.000956,0.6794116
"1150","UPK3BL",0.00546,0.000957,-0.5534517
"1151","",0.00552,0.000971,0.8622113
"1152","MASTL",0.00554,0.000975,0.5948316
"1153","",0.00556,0.000979,0.5147433
"1154","NCF4",0.00565,0.000996,0.577344
"1155","",0.00565,0.000996,-0.9509333
"1156","SPI1",0.00567,0.001,0.5474079
"1157","CPNE8",0.00568,0.001,0.5115008
"1158","PTPRC",0.00574,0.00102,0.75084
"1159","",0.00578,0.00103,-0.890571
"1160","CCDC85B",0.00578,0.00103,0.5670293
"1161","",0.00578,0.00103,0.7963389
"1162","TRIM58",0.00578,0.00103,0.8541388
"1163","CXCR2",0.00582,0.00104,0.7307859
"1164","",0.00585,0.00105,-0.675662
"1165","GP1BA",0.00586,0.00105,-0.542088
"1166","",0.00588,0.00105,0.5646413
"1167","",0.00596,0.00107,0.8959952
"1168","STX11",0.00596,0.00107,0.588763
"1169","IFIT1B",0.006,0.00108,1.167784
"1170","UBE2H",0.00609,0.0011,0.7944387
"1171","UBTD1",0.00612,0.0011,0.8883458
"1172","",0.00614,0.00111,-0.6457825
"1173","SLC22A18",0.00618,0.00112,0.5601897
"1174","PARP12",0.00631,0.00115,0.5516761
"1175","LYPLA1",0.00632,0.00115,0.5165616
"1176","CLYBL",0.00638,0.00116,-0.6493368
"1177","TRIM10",0.00646,0.00118,0.8998182
"1178","SPTA1",0.00646,0.00118,0.8480706
"1179","",0.00651,0.00119,0.5572393
"1180","",0.00656,0.0012,-0.5536048
"1181","RPL23",0.00656,0.0012,-0.6072282
"1182","",0.00663,0.00122,-0.5284809
"1183","MAK",0.00664,0.00122,0.7093565
"1184","GNG11",0.00674,0.00124,-0.644671
"1185","INPP5F",0.00676,0.00125,0.5176463
"1186","RALY",0.00677,0.00125,0.5579154
"1187","PILRA",0.00681,0.00126,0.6715795
"1188","ZC3H14",0.00683,0.00126,-0.6408769
"1189","GALM",0.00684,0.00127,0.7619206
"1190","HNRNPA1P33",0.00685,0.00127,-0.7135245
"1191","MS4A6A",0.00688,0.00128,0.5328622
"1192","ZNF212",0.00691,0.00128,-0.5206919
"1193","ZNF260",0.00691,0.00128,-0.6253185
"1194","C10orf12",0.00693,0.00129,0.6754021
"1195","ITPRIPL2",0.00711,0.00133,0.664345
"1196","VRK3",0.0072,0.00135,0.505
"1197","UBE2V1",0.00724,0.00136,0.5808871
"1198","CNN2",0.00727,0.00137,0.9316957
"1199","SLC31A2",0.00733,0.00138,0.5106835
"1200","PPM1K",0.00733,0.00138,0.5874305
"1201","PCDHGB6",0.00735,0.00139,-0.5280911
"1202","KYNU",0.00739,0.0014,0.5353231
"1203","TAMM41",0.00739,0.0014,-0.5087394
"1204","",0.00755,0.00144,-0.6615009
"1205","VNN 2.00",0.00759,0.00144,0.8353428
"1206","ERI3",0.00769,0.00147,-0.5068063
"1207","CBX5",0.00769,0.00147,0.647785
"1208","PLAUR",0.00769,0.00147,0.6224046
"1209","",0.00772,0.00148,0.8668259
"1210","IL12RB1",0.00784,0.00151,-0.5719322
"1211","",0.00792,0.00153,0.7715417
"1212","DNAJB14",0.00793,0.00153,0.5266194
"1213","HIP1",0.00796,0.00154,0.8543995
"1214","SBDS",0.00797,0.00154,-0.6041022
"1215","SLC48A1",0.00815,0.00159,0.660419
"1216","LRIG1",0.00815,0.00159,-0.6030615
"1217","",0.00819,0.00161,0.6540864
"1218","UGCG",0.00822,0.00162,0.553706
"1219","CELF1",0.00829,0.00164,0.7918122
"1220","IGFBP7",0.00837,0.00166,0.5793038
"1221","RELL1",0.00841,0.00167,-0.6867115
"1222","NEXN",0.0085,0.00169,0.6170717
"1223","DHX58",0.00851,0.00169,0.8543019
"1224","MGAM",0.00855,0.0017,0.9430995
"1225","NUP54",0.00859,0.00171,-0.504443
"1226","ARID4B",0.0086,0.00172,0.664879
"1227","SLC35C2",0.00861,0.00172,-0.6881915
"1228","CEP72",0.00861,0.00172,0.6597579
"1229","",0.00863,0.00173,0.6084859
"1230","BACH2",0.00864,0.00173,-0.5042996
"1231","FBXO7",0.0087,0.00174,0.5948833
"1232","POLE2",0.00871,0.00175,0.5242034
"1233","SIRT7",0.00871,0.00175,0.5427956
"1234","MEX3C",0.00873,0.00176,-0.5312983
"1235","CLEC4A",0.00875,0.00176,0.5514658
"1236","",0.00875,0.00176,0.7856533
"1237","",0.0088,0.00178,0.5862968
"1238","SPATA13",0.00881,0.00178,0.7486597
"1239","SULT1A3",0.00888,0.0018,0.606894
"1240","",0.00888,0.0018,-0.8320838
"1241","GFOD2",0.00889,0.0018,-0.5089285
"1242","",0.00893,0.00181,0.6721636
"1243","PRR13",0.00902,0.00183,0.5753436
"1244","",0.00905,0.00184,0.8207388
"1245","OLIG1",0.0091,0.00185,-0.7089572
"1246","",0.00911,0.00186,1.0105689
"1247","TC2N",0.00912,0.00186,-0.7914589
"1248","ANAPC15",0.00925,0.00189,0.5439683
"1249","ZNF696",0.00934,0.00191,-0.5707056
"1250","MXD1",0.0094,0.00193,0.5080066
"1251","CSF2RA",0.00953,0.00196,0.5365729
"1252","CD58",0.00961,0.00198,0.5084886
"1253","",0.00963,0.00198,0.9201348
"1254","PMM1",0.00969,0.002,-0.5523163
"1255","GLRX2",0.00974,0.00201,0.5432531
"1256","",0.00975,0.00202,0.5988771
"1257","CD93",0.00978,0.00203,0.5473261
"1258","MNDA",0.00981,0.00204,0.5701557
"1259","MICALCL",0.00995,0.00208,0.8979025
"1260","PSTPIP2",0.0101,0.00212,0.6347878
"1261","AGPAT2",0.0102,0.00213,0.6551365
"1262","MFSD14B",0.0102,0.00215,0.5484662
"1263","GUCY1A3",0.0103,0.00217,-0.6785794
"1264","PIP5K1B",0.0103,0.00218,0.9159497
"1265","",0.0105,0.00223,-0.5826138
"1266","DUSP1",0.0106,0.00224,0.5657321
"1267","AKTIP",0.0106,0.00224,-0.5418729
"1268","PPBP",0.0106,0.00225,-0.6766259
"1269","",0.0106,0.00225,0.6611034
"1270","",0.0106,0.00227,0.7422376
"1271","",0.0107,0.00229,-0.5108705
"1272","UBN2",0.0108,0.0023,0.7919958
"1273","RNF213",0.0108,0.00232,0.6090299
"1274","SOD2",0.0109,0.00234,0.6276706
"1275","RALGPS2",0.0112,0.00243,-0.7217299
"1276","CHST13",0.0113,0.00245,0.7922753
"1277","",0.0114,0.00249,-0.5546114
"1278","CEACAM3",0.0114,0.00249,0.6837786
"1279","WDR1",0.0116,0.00253,0.5937345
"1280","KNSTRN",0.0116,0.00253,0.5364876
"1281","LGALS3",0.0117,0.00256,-0.9292003
"1282","COBLL1",0.0117,0.00259,-0.5033962
"1283","ASPM",0.0121,0.00269,0.5955361
"1284","LAMP3",0.0122,0.00271,0.5311418
"1285","AMFR",0.0124,0.00275,0.7317451
"1286","",0.0124,0.00276,0.5940004
"1287","LRRN1",0.0124,0.00276,0.7560072
"1288","UBE2D2",0.0124,0.00276,-0.5676187
"1289","BANK1",0.0124,0.00277,-0.5414899
"1290","",0.0124,0.00277,0.5954842
"1291","ATPIF1",0.0125,0.00281,-0.5072281
"1292","PDE9A",0.0129,0.0029,-0.6739784
"1293","TMOD3",0.0129,0.00292,0.5472885
"1294","USP32",0.013,0.00295,0.5037509
"1295","SLC11A1",0.0131,0.00295,0.5204971
"1296","SSBP3",0.0135,0.00309,0.5669155
"1297","RABL3",0.0136,0.00309,0.5005823
"1298","",0.0136,0.00312,0.7466024
"1299","TERF2IP",0.0137,0.00312,0.5115844
"1300","FAM129A",0.0138,0.00315,0.5851304
"1301","CD58",0.0138,0.00316,0.6070309
"1302","TMEM140",0.0138,0.00317,0.5413679
"1303","MS4A7",0.0138,0.00318,0.5434959
"1304","MARCH1",0.014,0.00321,0.5474839
"1305","PYGL",0.014,0.00322,0.6385178
"1306","HIST1H1C",0.0141,0.00325,0.5042634
"1307","ACOX1",0.0141,0.00325,0.5022919
"1308","FHIT",0.0141,0.00325,-0.5563217
"1309","",0.0142,0.00328,-0.6660041
"1310","FAM129A",0.0142,0.00329,0.5340565
"1311","RNF144B",0.0143,0.00331,0.5208879
"1312","ANKRD9",0.0143,0.00333,0.7569258
"1313","BATF",0.0144,0.00334,0.5061999
"1314","WDR60",0.0144,0.00334,-0.7698131
"1315","LBR",0.0144,0.00336,0.5098125
"1316","NRK",0.0146,0.0034,0.6453336
"1317","",0.0146,0.0034,0.6335281
"1318","SOS 2",0.0146,0.00341,0.6467434
"1319","CSF2RA",0.0147,0.00343,0.5540515
"1320","KLHL29",0.0149,0.00349,-0.5793331
"1321","",0.0151,0.00355,0.6351312
"1322","HBBP1",0.0151,0.00356,1.4123073
"1323","KDM4A",0.0152,0.00358,0.7573942
"1324","SLAIN1",0.0153,0.00362,-0.583394
"1325","FLNA",0.0155,0.00367,0.5782899
"1326","ANAPC16",0.0155,0.00368,-0.5449835
"1327","TCN1",0.0155,0.00368,0.9944223
"1328","",0.0155,0.00368,0.6873738
"1329","",0.0159,0.00379,0.5971576
"1330","AGPAT2",0.016,0.0038,0.5774017
"1331","MAP2K3",0.016,0.00383,1.0102579
"1332","",0.0161,0.00384,0.5248061
"1333","",0.0161,0.00386,0.6813492
"1334","C11orf71",0.0161,0.00386,0.5537027
"1335","SVIL",0.0162,0.00388,0.8231707
"1336","CHST12",0.0163,0.0039,-0.5020908
"1337","ADPRM",0.0163,0.0039,-0.6170996
"1338","JAK2",0.0163,0.00392,0.5705196
"1339","PYHIN1",0.0163,0.00392,-0.6461092
"1340","PPM1A",0.0165,0.00398,0.6189762
"1341","CRK",0.0165,0.00399,0.5886259
"1342","",0.0165,0.00399,0.5130149
"1343","PDCD2L",0.0166,0.00401,-0.5340665
"1344","ADAM17",0.0167,0.00405,0.6545485
"1345","",0.0169,0.00411,-0.7595506
"1346","NHSL2",0.0172,0.00418,-0.5123771
"1347","RNPS1",0.0172,0.00419,0.7876851
"1348","PLK4",0.0172,0.00421,0.5259328
"1349","GPS1",0.0175,0.00428,0.5662635
"1350","",0.0175,0.0043,-0.6494382
"1351","",0.0175,0.0043,0.5396944
"1352","STX3",0.0175,0.0043,0.5440188
"1353","",0.0179,0.00439,0.7194398
"1354","TAF8",0.018,0.00444,0.637368
"1355","",0.0181,0.00447,0.5116167
"1356","CSGALNACT2",0.0181,0.00449,0.6170429
"1357","GADD45A",0.0183,0.00456,0.568255
"1358","MFSD14B",0.0183,0.00457,0.5314272
"1359","TNFSF4",0.0183,0.00457,-0.5641096
"1360","UTRN",0.0184,0.00458,0.5547968
"1361","FMNL1",0.0184,0.00459,0.5374504
"1362","SNORA12",0.0186,0.00464,-0.571557
"1363","",0.0186,0.00466,-0.5162677
"1364","YOD1",0.0186,0.00466,0.8051563
"1365","RRN3",0.0187,0.00467,-0.6158833
"1366","",0.0187,0.00469,-0.6325655
"1367","FRAT1",0.0188,0.0047,0.5370653
"1368","SETD6",0.0189,0.00475,-0.545941
"1369","FRAT1",0.0191,0.00482,0.5018251
"1370","LINC00926",0.0191,0.00482,-0.531379
"1371","BNIP3L",0.0193,0.00488,0.7468498
"1372","",0.0193,0.00489,-0.5229348
"1373","MTMR14",0.0193,0.00491,0.5136336
"1374","ACP5",0.0195,0.00494,-0.5705258
"1375","YBEY",0.0201,0.00515,-0.5283577
"1376","C17orf58",0.0204,0.00523,0.6249044
"1377","DFFA",0.0204,0.00525,0.7707523
"1378","TMEM33",0.0207,0.00534,0.5857177
"1379","CREBBP",0.0208,0.00536,0.7526779
"1380","ELL2",0.0208,0.00538,0.5431037
"1381","SNCA",0.0212,0.00548,0.8333562
"1382","YWHAE",0.0212,0.00549,0.5306902
"1383","MBNL2",0.0214,0.00558,-0.6309351
"1384","BUB3",0.0218,0.00571,-0.515316
"1385","",0.0218,0.00573,-0.9002875
"1386","",0.0219,0.00573,-0.5800967
"1387","ADHFE1",0.0221,0.00583,-0.5004215
"1388","GK",0.0222,0.00584,0.5728529
"1389","HNRNPDL",0.0223,0.00589,-0.5677157
"1390","RP2",0.0224,0.00592,0.5291431
"1391","CMPK1",0.0227,0.00603,-0.5382975
"1392","MAP2K3",0.0228,0.00604,0.9387911
"1393","",0.023,0.00611,-0.5522861
"1394","",0.0235,0.00627,0.5803935
"1395","MMP25",0.0237,0.00635,0.6194663
"1396","",0.0238,0.00639,0.7722347
"1397","IMPAD1",0.024,0.00646,0.6335971
"1398","IRF5",0.0244,0.00656,0.810044
"1399","",0.0245,0.00659,-0.6056477
"1400","",0.0245,0.0066,0.8083186
"1401","SLFN12",0.0246,0.00664,0.5326053
"1402","",0.0251,0.00683,0.5126653
"1403","CAT",0.0254,0.00693,-0.6334335
"1404","RBM3",0.0255,0.00697,-0.6039705
"1405","HLX",0.0255,0.00698,0.6401163
"1406","EXOSC4",0.0258,0.00707,0.538727
"1407","ABCB1",0.0263,0.00722,-0.6198936
"1408","LIG4",0.0271,0.00748,0.5363663
"1409","TMLHE",0.0271,0.0075,0.555335
"1410","",0.0272,0.00752,0.6472418
"1411","LUC7L3",0.0277,0.0077,-0.8717419
"1412","",0.0277,0.00773,0.566937
"1413","XK",0.0279,0.00778,0.9542395
"1414","",0.028,0.00782,0.5860051
"1415","",0.0283,0.00794,0.6885986
"1416","GCLC",0.0286,0.00806,0.5629013
"1417","FAM129B",0.0286,0.00807,0.5208348
"1418","CA1",0.0289,0.00817,0.9796371
"1419","GBP4",0.0289,0.0082,0.554863
"1420","ALDH3B1",0.0292,0.0083,0.5369086
"1421","NAPSB",0.0292,0.00831,0.5569477
"1422","FKBP8",0.0296,0.00842,0.5718671
"1423","TNPO1",0.0302,0.00866,0.7703475
"1424","",0.0304,0.00873,0.6874691
"1425","ZHX2",0.0313,0.00908,-0.6882277
"1426","RNF25",0.0316,0.00918,0.611072
"1427","TRIOBP",0.0323,0.00943,-0.6634662
"1428","PHF2",0.0327,0.00959,0.5665585
"1429","IMPDH1",0.0329,0.00967,0.6641116
"1430","FOXP1-IT1",0.0333,0.00982,0.5589395
"1431","ZMYM5",0.0334,0.00985,0.5178923
"1432","",0.0338,0.00997,-0.5303429
"1433","",0.0338,0.00999,0.8461315
"1434","TIMM10",0.0346,0.0103,0.6846288
"1435","IL16",0.0347,0.0103,-0.6045914
"1436","TSPAN4",0.0348,0.0104,-0.5471964
"1437","IL32",0.0348,0.0104,-0.51495
"1438","ZRANB1",0.035,0.0105,0.5134814
"1439","CCL4L1",0.0354,0.0106,-0.510093
"1440","CCL3L3",0.0355,0.0107,-0.6240881
"1441","CDK11A",0.0355,0.0107,0.5098738
"1442","",0.0359,0.0108,0.7768217
"1443","HIC2",0.036,0.0109,-0.5132826
"1444","ALAS2",0.0361,0.0109,0.9218909
"1445","CTSW",0.0369,0.0112,-0.5735091
"1446","ALB",0.0372,0.0113,0.6853124
"1447","",0.0378,0.0115,0.6334619
"1448","TNFRSF10B",0.0381,0.0116,0.5469366
"1449","",0.0384,0.0118,-0.5761941
"1450","TUBB1",0.0388,0.0119,-0.5101616
"1451","EIF3A",0.0394,0.0121,-0.5284472
"1452","MCM4",0.0394,0.0122,0.5107061
"1453","HMMR",0.0398,0.0123,0.5902689
"1454","MYOM2",0.04,0.0124,-0.9901825
"1455","CD300C",0.0404,0.0126,0.7058964
"1456","",0.0405,0.0126,-0.6023365
"1457","PTP4A3",0.0408,0.0127,0.5490358
"1458","LCN2",0.0412,0.0129,0.7264566
"1459","",0.0417,0.013,0.8512428
"1460","SLFN5",0.0419,0.0131,0.556607
"1461","",0.042,0.0132,0.5977968
"1462","",0.0421,0.0132,0.6677301
"1463","",0.0428,0.0135,0.51267
"1464","BCL2L1",0.0432,0.0137,0.887341
"1465","FCGR3B",0.0437,0.0139,0.6127342
"1466","",0.0439,0.0139,0.6076473
"1467","CISD2",0.0441,0.014,0.6836106
"1468","HM13",0.0443,0.0141,0.5575883
"1469","CSTF3",0.0443,0.0141,-0.5409348
"1470","",0.0447,0.0143,0.6388484
"1471","RPS6KB2",0.0451,0.0144,0.6340904
"1472","AZIN1",0.0458,0.0148,0.6256021
"1473","CDKN1B",0.0461,0.0149,-0.5672964
"1474","CD44",0.0461,0.0149,0.5029216
"1475","TCL1A",0.0467,0.0151,-0.5435316
"1476","",0.0472,0.0153,0.6035156
"1477","",0.0474,0.0154,0.6147744
"1478","USP22",0.0478,0.0156,0.5205621
"1479","LBR",0.0485,0.0159,0.571694
"1480","DPP7",0.0486,0.016,0.5142306
"1481","LACTB",0.0486,0.016,0.5342041
"1482","ENHO",0.049,0.0162,-0.5121891
"1483","RALGAPA1",0.0495,0.0163,-0.5703035
"1484","HSD11B1L",0.0499,0.0165,0.5898703
