"","Name","adj.P.Val","P.Value","logFC"
"390","MRE11A",2.98e-07,2.6e-09,-0.73
"391","",3.11e-07,2.72e-09,-1.07
"392","TRMT2B",3.13e-07,2.75e-09,-0.708
"393","RHAG",3.14e-07,2.76e-09,1.65
"394","",3.16e-07,2.79e-09,-0.921
"395","CDC14A",3.17e-07,2.8e-09,-1.01
"396","TRIM13",3.2e-07,2.84e-09,-0.866
"397","",3.24e-07,2.88e-09,-1.38
"398","ZNF791",3.24e-07,2.89e-09,-0.597
"399","ZNF585B",3.24e-07,2.9e-09,-0.707
"400","SHPRH",3.26e-07,2.92e-09,-0.591
"401","KLHL28",3.3e-07,2.96e-09,-0.647
"402","ZNF234",3.33e-07,3e-09,-0.696
"403","",3.33e-07,3.01e-09,-0.705
"404","",3.33e-07,3.01e-09,-1.2
"405","SUCNR1",3.33e-07,3.01e-09,1.03
"406","C3AR1",3.36e-07,3.05e-09,1.2
"407","DYRK2",3.47e-07,3.17e-09,-0.764
"408","CYLD",3.48e-07,3.18e-09,-0.679
"409","TDP1",3.56e-07,3.26e-09,-0.882
"410","BIRC5",3.56e-07,3.26e-09,1.33
"411","MT1E",3.56e-07,3.28e-09,1.14
"412","TTN",3.63e-07,3.35e-09,-0.98
"413","",3.65e-07,3.38e-09,-1.03
"414","C9orf72",3.7e-07,3.42e-09,0.945
"415","MPHOSPH8",3.74e-07,3.48e-09,-0.682
"416","DLGAP5",3.87e-07,3.61e-09,1.16
"417","MAD2L1",3.87e-07,3.62e-09,0.818
"418","CD58",3.9e-07,3.65e-09,0.711
"419","GAPDH",3.91e-07,3.67e-09,0.527
"420","",3.91e-07,3.67e-09,-1.15
"421","",3.99e-07,3.76e-09,-1.17
"422","ANKRA2",3.99e-07,3.77e-09,-0.529
"423","XK",4e-07,3.78e-09,1.66
"424","ASGR2",4.01e-07,3.81e-09,0.997
"425","DNAJC30",4.01e-07,3.82e-09,-0.964
"426","",4.01e-07,3.82e-09,-0.878
"427","EID2B",4.12e-07,3.94e-09,-0.829
"428","SWSAP1",4.13e-07,3.96e-09,-0.53
"429","",4.13e-07,3.96e-09,-1.02
"430","CARD16",4.15e-07,4.01e-09,0.767
"431","XRCC2",4.16e-07,4.03e-09,-0.957
"432","CUBN",4.16e-07,4.04e-09,-0.919
"433","",4.19e-07,4.07e-09,-1.05
"434","",4.29e-07,4.17e-09,-0.779
"435","ZNF763",4.35e-07,4.25e-09,-0.761
"436","TMEM17",4.35e-07,4.26e-09,-0.903
"437","YRDC",4.38e-07,4.3e-09,-0.818
"438","COX7B",4.39e-07,4.32e-09,0.665
"439","EXO1",4.45e-07,4.4e-09,1.09
"440","",4.46e-07,4.41e-09,1.32
"441","",4.46e-07,4.42e-09,-1.33
"442","BIRC3",4.46e-07,4.43e-09,-0.538
"443","RNF125",4.47e-07,4.45e-09,-0.687
"444","BLOC1S6",4.59e-07,4.58e-09,-0.719
"445","",4.59e-07,4.59e-09,-1
"446","PLSCR1",4.65e-07,4.66e-09,1.4
"447","POGZ",4.66e-07,4.68e-09,-0.693
"448","KRT18",4.66e-07,4.69e-09,-0.995
"449","",4.7e-07,4.75e-09,-0.93
"450","",4.7e-07,4.75e-09,0.665
"451","GSDMA",4.72e-07,4.79e-09,0.767
"452","RNF135",4.72e-07,4.8e-09,0.618
"453","",4.72e-07,4.8e-09,0.559
"454","WAC",4.72e-07,4.8e-09,-0.869
"455","ZFP42",4.74e-07,4.84e-09,-0.603
"456","C20orf24",4.75e-07,4.87e-09,0.514
"457","GLRX",4.77e-07,4.9e-09,0.571
"458","ZNF160",4.78e-07,4.92e-09,-0.75
"459","",4.84e-07,5e-09,-0.979
"460","FMNL3",4.84e-07,5e-09,-0.608
"461","OLFM4",4.99e-07,5.17e-09,3.05
"462","",5e-07,5.18e-09,-0.804
"463","",5.01e-07,5.22e-09,-1.07
"464","NRCAM",5.01e-07,5.22e-09,-0.953
"465","",5.01e-07,5.22e-09,-1.09
"466","PSMA1",5.02e-07,5.25e-09,-1.08
"467","IFI44",5.08e-07,5.32e-09,1.5
"468","MOB3B",5.11e-07,5.36e-09,-0.851
"469","",5.11e-07,5.38e-09,-0.664
"470","GSTTP2",5.11e-07,5.38e-09,-1.24
"471","PPFIBP1",5.2e-07,5.5e-09,-0.687
"472","ZNF493",5.22e-07,5.53e-09,-0.828
"473","NGDN",5.33e-07,5.66e-09,-0.751
"474","HPSE",5.48e-07,5.83e-09,1.07
"475","CREB1",5.49e-07,5.84e-09,-0.603
"476","BACH2",5.67e-07,6.06e-09,-0.656
"477","TYMSOS",5.67e-07,6.07e-09,0.935
"478","TPST2",5.79e-07,6.21e-09,0.5
"479","IGIP",5.79e-07,6.23e-09,-0.54
"480","PLBD1",5.79e-07,6.23e-09,0.996
"481","",5.93e-07,6.4e-09,-0.709
"482","ZNF33A",5.93e-07,6.4e-09,-0.947
"483","",6.09e-07,6.59e-09,0.893
"484","",6.09e-07,6.6e-09,0.787
"485","",6.13e-07,6.65e-09,-0.857
"486","P3H2",6.2e-07,6.75e-09,-0.614
"487","BLVRA",6.26e-07,6.83e-09,0.779
"488","OPLAH",6.3e-07,6.89e-09,1.16
"489","ATP10D",6.3e-07,6.91e-09,-0.572
"490","MMP9",6.43e-07,7.06e-09,1.79
"491","AVIL",6.46e-07,7.14e-09,-0.79
"492","PLA2G4A",6.46e-07,7.15e-09,0.677
"493","SPRY1",6.46e-07,7.16e-09,-0.732
"494","",6.46e-07,7.16e-09,-0.914
"495","PDLIM7",6.78e-07,7.56e-09,0.906
"496","NFATC2IP",6.86e-07,7.66e-09,-0.59
"497","LRCH3",6.95e-07,7.77e-09,-1.05
"498","",6.98e-07,7.82e-09,-0.678
"499","",7.09e-07,7.97e-09,-1.44
"500","SLC9A7",7.09e-07,7.97e-09,-0.634
"501","",7.13e-07,8.04e-09,-0.527
"502","LY6E",7.14e-07,8.06e-09,1.13
"503","PCYOX1",7.19e-07,8.16e-09,-0.815
"504","S1PR3",7.19e-07,8.16e-09,0.931
"505","PIWIL4",7.19e-07,8.18e-09,0.805
"506","",7.26e-07,8.28e-09,-0.973
"507","CTAGE5",7.41e-07,8.47e-09,-1.03
"508","KIF27",7.43e-07,8.51e-09,-0.882
"509","SLC38A10",7.67e-07,8.8e-09,0.807
"510","",7.71e-07,8.86e-09,-0.756
"511","RFESD",7.85e-07,9.06e-09,0.891
"512","",7.85e-07,9.06e-09,-1.7
"513","OR1J1",7.91e-07,9.14e-09,-0.646
"514","",8.03e-07,9.32e-09,-1.31
"515","",8.04e-07,9.34e-09,-0.9
"516","PAQR4",8.08e-07,9.41e-09,0.595
"517","ELANE",8.16e-07,9.51e-09,2.63
"518","CNR2",8.18e-07,9.58e-09,-0.503
"519","GABARAPL2",8.18e-07,9.59e-09,0.716
"520","",8.25e-07,9.69e-09,-0.894
"521","ANKRD33",8.25e-07,9.71e-09,0.767
"522","ZIK1",8.32e-07,9.81e-09,-0.7
"523","",8.34e-07,9.84e-09,2.83
"524","GPER1",8.7e-07,1.03e-08,1.22
"525","COX19",8.7e-07,1.03e-08,-0.61
"526","LYZ",8.71e-07,1.04e-08,1.24
"527","",8.72e-07,1.04e-08,-1.4
"528","TNRC6B",8.72e-07,1.04e-08,-0.682
"529","CNTNAP1",8.73e-07,1.04e-08,-0.657
