"","Name","adj.P.Val","P.Value","logFC"
"1577","",0.000157,6.76e-06,-0.815
"1578","",0.000157,6.77e-06,0.582
"1579","RNASE3",0.000158,6.78e-06,1.69
"1580","HIP1R",0.000158,6.79e-06,-0.543
"1581","FCER1A",0.000159,6.84e-06,-1.01
"1582","CTBP1",0.000159,6.87e-06,-0.79
"1583","GDF11",0.000159,6.88e-06,-0.613
"1584","CSDE1",0.00016,6.89e-06,-0.768
"1585","CDCA7",0.00016,6.92e-06,0.526
"1586","TIAM2",0.000162,7e-06,-0.84
"1587","CD19",0.000162,7.02e-06,-0.506
"1588","TCF7",0.000162,7.02e-06,-0.644
"1589","TYSND1",0.000162,7.05e-06,-0.62
"1590","",0.000163,7.07e-06,0.623
"1591","RN7SK",0.000166,7.21e-06,1.54
"1592","",0.000166,7.21e-06,-0.544
"1593","DBT",0.000166,7.25e-06,-0.524
"1594","LHFPL2",0.000166,7.25e-06,0.544
"1595","TDRD7",0.000166,7.25e-06,0.525
"1596","TELO2",0.000166,7.25e-06,-0.753
"1597","C9orf40",0.00017,7.44e-06,0.598
"1598","SMC1A",0.00017,7.45e-06,-0.59
"1599","SPG7",0.00017,7.46e-06,-0.531
"1600","GRAP",0.000171,7.47e-06,-0.688
"1601","",0.000171,7.51e-06,-0.588
"1602","NBR1",0.000172,7.53e-06,-0.636
"1603","NTNG2",0.000173,7.6e-06,0.642
"1604","MAPK14",0.000174,7.66e-06,0.784
"1605","CNTNAP2",0.000174,7.68e-06,-1.34
"1606","ATP8B4",0.000174,7.69e-06,0.672
"1607","FAM83D",0.000175,7.72e-06,0.542
"1608","KIF4A",0.000175,7.75e-06,0.593
"1609","",0.000176,7.81e-06,0.683
"1610","TLR5",0.000177,7.86e-06,0.701
"1611","",0.000177,7.86e-06,-0.585
"1612","PSG9",0.000178,7.88e-06,0.954
"1613","",0.000178,7.89e-06,0.882
"1614","SAMD1",0.000179,7.96e-06,-0.547
"1615","",0.00018,7.98e-06,-0.75
"1616","SSSCA1",0.000181,8.02e-06,0.559
"1617","ANKRD34B",0.000181,8.03e-06,0.987
"1618","RNASE4",0.000181,8.04e-06,0.685
"1619","NFATC2IP",0.000181,8.05e-06,-0.686
"1620","OSM",0.000184,8.18e-06,0.848
"1621","SNORD4A",0.000185,8.24e-06,-0.67
"1622","FAM89A",0.000185,8.25e-06,0.534
"1623","NFATC3",0.000187,8.33e-06,-0.593
"1624","",0.000188,8.38e-06,-0.672
"1625","",0.000188,8.39e-06,-0.903
"1626","IGFBP7",0.000189,8.44e-06,0.544
"1627","RNF213",0.00019,8.52e-06,-0.702
"1628","",0.000192,8.62e-06,-0.764
"1629","",0.000193,8.66e-06,-0.966
"1630","VRK2",0.000194,8.73e-06,0.51
"1631","NR4A2",0.000194,8.74e-06,-0.507
"1632","ZNF525",0.000196,8.81e-06,-0.545
"1633","",0.000196,8.83e-06,1.36
"1634","GCLC",0.000197,8.88e-06,0.702
"1635","C6orf52",0.000197,8.91e-06,0.555
"1636","",0.000197,8.91e-06,-0.967
"1637","USP32",2e-04,9.07e-06,-0.728
"1638","",0.000202,9.16e-06,0.586
"1639","UBE2T",0.000202,9.17e-06,0.503
"1640","",0.000202,9.18e-06,-0.731
"1641","AZU1",0.000203,9.23e-06,1.66
"1642","UPF3A",0.000205,9.32e-06,-0.504
"1643","TCAF2",0.000207,9.4e-06,-0.82
"1644","",0.000207,9.44e-06,-0.753
"1645","KAT6B",0.000208,9.48e-06,-0.679
"1646","EGF",0.000212,9.72e-06,0.579
"1647","",0.000213,9.75e-06,-0.536
"1648","SCML1",0.000214,9.78e-06,-0.631
"1649","HIGD1A",0.000214,9.8e-06,0.514
"1650","RBM15B",0.000214,9.84e-06,-0.522
"1651","HABP4",0.000215,9.9e-06,-0.523
"1652","",0.000216,9.94e-06,0.503
"1653","RNF13",0.000217,9.98e-06,-0.812
"1654","",0.000217,1e-05,-0.976
"1655","SORL1",0.000218,1e-05,-0.683
"1656","CD200R1",0.000218,1.01e-05,-0.761
"1657","SLC9A4",0.000221,1.02e-05,0.534
"1658","CCNF",0.000222,1.02e-05,0.628
"1659","SLX4IP",0.000222,1.02e-05,-0.586
"1660","",0.000222,1.03e-05,0.672
"1661","CASP5",0.000224,1.04e-05,1.14
"1662","ADAMTSL4",0.000227,1.05e-05,0.538
"1663","ELF2",0.000227,1.05e-05,-0.781
"1664","",0.000231,1.08e-05,-0.607
"1665","RAD51",0.000233,1.09e-05,0.553
"1666","GABARAPL2",0.000234,1.09e-05,0.752
"1667","SOX6",0.000235,1.09e-05,1.02
"1668","PLS3",0.000236,1.1e-05,0.598
"1669","",0.000237,1.11e-05,-0.865
"1670","PAXBP1",0.000238,1.11e-05,-0.728
"1671","FCGBP",0.000239,1.12e-05,-0.574
"1672","WNK1",0.000241,1.13e-05,-0.759
"1673","ST7",0.000242,1.14e-05,0.732
"1674","RIOK3",0.000243,1.14e-05,0.694
"1675","",0.000244,1.15e-05,-0.519
"1676","TYW3",0.000244,1.15e-05,-0.525
"1677","PSG11",0.000245,1.15e-05,0.921
"1678","",0.000246,1.16e-05,0.699
"1679","QPCT",0.000246,1.16e-05,0.705
"1680","C17orf99",0.000246,1.16e-05,1.29
"1681","ATXN2L",0.000251,1.19e-05,-0.749
"1682","MPRIP",0.000251,1.19e-05,-0.592
"1683","CYFIP1",0.000252,1.2e-05,0.691
"1684","ARHGAP24",0.000252,1.2e-05,-0.733
"1685","IFNLR1",0.000253,1.2e-05,-0.645
"1686","HBD",0.000255,1.22e-05,1.45
"1687","NT5C3A",0.000256,1.22e-05,0.595
"1688","AHSP",0.000257,1.23e-05,1.08
"1689","ATXN3",0.000258,1.23e-05,-0.542
"1690","SYTL2",0.000258,1.23e-05,-0.561
"1691","C17orf58",0.000258,1.24e-05,0.513
"1692","SNHG10",0.000259,1.24e-05,0.748
"1693","MYBPH",0.000259,1.24e-05,-0.702
"1694","POFUT1",0.00026,1.25e-05,-0.5
"1695","",0.000262,1.26e-05,-0.769
"1696","PRKCE",0.000262,1.26e-05,-0.51
"1697","UBE2I",0.000262,1.26e-05,-0.536
"1698","",0.000263,1.26e-05,-0.654
"1699","RAX2",0.000263,1.26e-05,-0.818
"1700","TALDO1",0.000263,1.26e-05,-0.676
"1701","LCK",0.000266,1.28e-05,-0.909
"1702","SERPINB2",0.000267,1.28e-05,0.741
"1703","LINC01567",0.000268,1.29e-05,-0.529
"1704","MED15",0.000269,1.29e-05,-0.697
"1705","SMARCD3",0.000269,1.3e-05,0.718
"1706","HACD4",0.00027,1.3e-05,-0.733
"1707","CD70",0.000273,1.32e-05,0.674
"1708","ISCA1",0.000274,1.32e-05,0.65
"1709","",0.000274,1.33e-05,-0.695
"1710","SGO1",0.000274,1.33e-05,0.506
"1711","PLS3",0.000275,1.33e-05,0.807
"1712","",0.000275,1.33e-05,0.804
"1713","",0.000277,1.34e-05,-0.526
"1714","DTX3L",0.000278,1.35e-05,0.824
"1715","",0.00028,1.36e-05,-0.669
"1716","ALAS2",0.000283,1.37e-05,1.45
"1717","ASL",0.000283,1.38e-05,-0.59
"1718","RBP7",0.000285,1.39e-05,0.774
"1719","RAB32",0.000286,1.39e-05,0.7
"1720","BIN3",0.000286,1.4e-05,-0.586
"1721","TSPAN7",0.000287,1.4e-05,1.16
"1722","NHSL2",0.000289,1.41e-05,-0.616
"1723","KLHL3",0.000291,1.43e-05,-0.507
"1724","",0.000292,1.43e-05,-0.864
"1725","OGFOD3",0.000296,1.45e-05,-0.529
"1726","SPTBN1",0.000299,1.47e-05,-0.596
"1727","EIF4E3",0.000302,1.48e-05,0.557
"1728","SPON1",0.000304,1.5e-05,-0.661
"1729","",0.000304,1.5e-05,-0.792
"1730","PSRC1",0.000306,1.51e-05,0.537
"1731","RAD54L",0.000309,1.53e-05,0.521
"1732","PRRG4",0.000311,1.54e-05,-0.585
"1733","GUCA1B",0.000315,1.56e-05,-0.541
"1734","CCL3L3",0.000315,1.56e-05,0.708
"1735","SIGLEC5",0.000317,1.57e-05,0.95
"1736","ANP32A",0.000321,1.59e-05,0.591
"1737","FOXP1",0.000322,1.6e-05,-0.547
"1738","CCM2",0.000322,1.6e-05,-0.825
"1739","HNRNPA1P10",0.000323,1.61e-05,-0.587
"1740","ZNF644",0.000324,1.61e-05,-0.593
"1741","TRA2A",0.000331,1.66e-05,-0.541
"1742","GPD2",0.000334,1.68e-05,0.542
"1743","KLRB1",0.000335,1.68e-05,-0.676
"1744","",0.000341,1.71e-05,-0.609
"1745","DDB1",0.000341,1.72e-05,-0.658
"1746","RDM1",0.000341,1.72e-05,0.557
"1747","",0.000343,1.73e-05,-0.59
"1748","",0.000343,1.73e-05,-0.729
"1749","LRCH3",0.000344,1.74e-05,-0.725
"1750","SORT1",0.000345,1.74e-05,0.696
"1751","CCDC7",0.000345,1.75e-05,-0.726
"1752","",0.000346,1.75e-05,-0.609
"1753","",0.000353,1.79e-05,-0.506
"1754","NELL1",0.000354,1.8e-05,0.844
"1755","PKMYT1",0.000354,1.8e-05,0.531
"1756","",0.000356,1.81e-05,-0.542
"1757","IL9R",0.000359,1.83e-05,-0.653
"1758","RAB13",0.000359,1.83e-05,0.517
"1759","PDE7A",0.000359,1.83e-05,-0.641
"1760","TNFSF14",0.000359,1.83e-05,-0.578
"1761","SNX22",0.000362,1.85e-05,-0.553
"1762","RNF213",0.000372,1.91e-05,0.617
"1763","RNF165",0.000372,1.91e-05,-0.921
"1764","",0.000379,1.95e-05,0.523
"1765","",0.000381,1.97e-05,-0.651
"1766","MEFV",0.000386,1.99e-05,0.738
"1767","RBM39",0.000388,2.01e-05,-0.532
"1768","AGO3",0.000388,2.01e-05,-0.51
"1769","OPN3",0.000393,2.03e-05,-0.516
"1770","",0.000393,2.03e-05,-0.836
"1771","PNPLA2",0.000394,2.04e-05,0.725
"1772","SERPINA1",0.000397,2.06e-05,0.624
"1773","UBN2",0.000397,2.06e-05,-0.824
"1774","NLRC4",0.000399,2.07e-05,0.747
"1775","SH3KBP1",0.000399,2.08e-05,-0.721
"1776","DPP7",0.000401,2.09e-05,-0.674
"1777","CDA",0.000404,2.11e-05,0.644
"1778","CCR2",0.000409,2.14e-05,0.636
"1779","HNRNPA1L2",0.000409,2.14e-05,-0.512
"1780","CREB5",0.000411,2.15e-05,-1.16
"1781","",0.000412,2.16e-05,-0.798
"1782","TOX",0.000413,2.16e-05,-0.537
"1783","CD14",0.000413,2.16e-05,0.561
"1784","IFNAR2",0.000418,2.19e-05,-0.573
"1785","PGS1",0.00042,2.2e-05,0.568
"1786","SLC48A1",0.000421,2.21e-05,0.741
"1787","",0.000421,2.21e-05,-0.747
"1788","CA1",0.000423,2.23e-05,1.68
"1789","USP13",0.000424,2.23e-05,-0.507
"1790","",0.000426,2.24e-05,-0.615
"1791","",0.000427,2.25e-05,-0.566
"1792","HBZ",0.000427,2.25e-05,2.13
"1793","MS4A3",0.000429,2.26e-05,1.4
"1794","TTC8",0.000436,2.3e-05,-0.586
"1795","OSBPL10",0.000436,2.3e-05,-0.558
"1796","MYOF",0.000439,2.32e-05,0.727
"1797","ABCC4",0.000442,2.34e-05,0.588
"1798","",0.000452,2.4e-05,-0.818
"1799","CLEC4C",0.000452,2.4e-05,-0.742
"1800","HPSE",0.000452,2.4e-05,0.66
"1801","SLC25A36",0.000454,2.41e-05,-0.585
"1802","HESX1",0.000454,2.41e-05,1.15
"1803","RGL1",0.000458,2.44e-05,0.729
"1804","FCRL3",0.000459,2.44e-05,-0.752
"1805","IL5RA",0.00046,2.45e-05,-0.715
"1806","FAM35A",0.00046,2.45e-05,-0.719
"1807","",0.000463,2.47e-05,-0.645
"1808","RNF135",0.000464,2.48e-05,0.59
"1809","HERC5",0.000475,2.55e-05,1.11
"1810","KIAA1524",0.000475,2.55e-05,0.521
"1811","SNORD14C",0.000476,2.56e-05,-0.533
"1812","TCF7",0.000476,2.56e-05,-0.726
"1813","MS4A3",0.00048,2.58e-05,1.34
"1814","CAPN15",0.000481,2.59e-05,-0.551
"1815","CDC14A",0.000484,2.61e-05,-0.866
"1816","CLEC4A",0.000484,2.61e-05,0.505
"1817","ANKRD20A1",0.000488,2.64e-05,-0.878
"1818","SNORD46",0.000489,2.65e-05,-0.687
"1819","",0.000489,2.65e-05,-0.545
"1820","ATF3",0.000491,2.66e-05,0.985
"1821","IL1RN",0.000493,2.67e-05,1
"1822","AGAP4",0.000497,2.7e-05,-0.761
"1823","ABCC4",0.000506,2.75e-05,0.526
"1824","",0.000507,2.76e-05,-0.646
"1825","TMEM51",0.000509,2.77e-05,0.868
"1826","SATB1",0.000512,2.79e-05,-0.521
"1827","",0.000517,2.82e-05,-0.554
"1828","NBPF9",0.000518,2.83e-05,-1.02
"1829","RAB20",0.00052,2.84e-05,0.65
"1830","",0.000523,2.86e-05,-0.701
"1831","CEP85L",0.000524,2.87e-05,-0.802
"1832","",0.000528,2.89e-05,-0.517
"1833","ZNF514",0.000528,2.89e-05,-0.701
"1834","ERC1",0.00053,2.91e-05,-0.635
"1835","SFI1",0.000531,2.91e-05,-0.522
"1836","ADAM23",0.000532,2.92e-05,-0.614
"1837","CNN2",0.000534,2.93e-05,-0.773
"1838","TLE2",0.000534,2.94e-05,-0.504
"1839","LINC00877",0.000534,2.94e-05,-0.507
"1840","",0.000535,2.94e-05,0.625
"1841","ATG10",0.000535,2.95e-05,-0.501
"1842","EEF1G",0.000537,2.96e-05,-0.507
"1843","SERPINA1",0.00054,2.98e-05,0.611
"1844","FAM129C",0.000544,3e-05,-0.508
"1845","RRN3P1",0.000546,3.02e-05,-0.81
"1846","",0.000546,3.02e-05,-0.669
"1847","",0.000547,3.02e-05,0.795
"1848","NBPF1",0.000547,3.02e-05,-1.02
"1849","CEP70",0.000554,3.06e-05,-0.522
"1850","METTL2A",0.000559,3.1e-05,-0.562
"1851","CA4",0.000559,3.1e-05,1.04
"1852","CARMIL1",0.00057,3.17e-05,-0.562
"1853","ROPN1L",0.00057,3.17e-05,0.719
"1854","",0.00057,3.17e-05,-0.537
"1855","ISCU",0.00057,3.17e-05,-0.529
"1856","FAS",0.000571,3.18e-05,0.611
"1857","ZNF322",0.000572,3.19e-05,-0.58
"1858","SAMD9L",0.000572,3.19e-05,0.757
"1859","HLA-DOB",0.000582,3.25e-05,-0.556
"1860","",0.000585,3.27e-05,1.01
"1861","CHMP5",0.000598,3.35e-05,0.582
"1862","PRG2",0.000606,3.4e-05,1.31
"1863","RALGPS1",0.000612,3.45e-05,-0.534
"1864","CLEC4G",0.000617,3.48e-05,0.611
"1865","",0.000617,3.48e-05,1.24
"1866","CES3",0.000631,3.57e-05,1.16
"1867","COBLL1",0.000636,3.61e-05,-0.639
"1868","",0.000638,3.62e-05,-0.78
"1869","COG5",0.00064,3.64e-05,-0.532
"1870","TNFAIP6",0.000641,3.64e-05,0.944
"1871","TPM2",0.000646,3.68e-05,-0.59
"1872","TNFRSF10A",0.000646,3.68e-05,-0.503
"1873","PCSK5",0.000647,3.68e-05,-0.514
"1874","FAM177B",0.000661,3.77e-05,-0.788
"1875","NUAK2",0.000661,3.77e-05,-0.581
"1876","TRIM22",0.000667,3.82e-05,0.617
"1877","ABLIM1",0.000668,3.83e-05,-0.567
"1878","",0.000677,3.88e-05,-0.632
"1879","FAM214B",0.00068,3.9e-05,0.506
"1880","FBXO32",0.000705,4.06e-05,-0.547
"1881","",0.000705,4.07e-05,-0.592
"1882","FBXO9",0.000707,4.08e-05,-0.539
"1883","",0.000709,4.1e-05,-0.605
"1884","LAMA3",0.000712,4.11e-05,0.502
"1885","NACC2",0.000715,4.14e-05,0.591
"1886","SCML4",0.000718,4.16e-05,-0.541
"1887","",0.000718,4.16e-05,-0.691
"1888","SIRPB1",0.000718,4.16e-05,0.598
"1889","KLF4",0.000721,4.18e-05,0.531
"1890","BPGM",0.000727,4.22e-05,0.998
"1891","ELOVL6",0.000727,4.22e-05,0.587
"1892","GADD45G",0.000735,4.27e-05,0.619
"1893","CCPG1",0.00074,4.31e-05,0.527
"1894","LPAR1",0.000742,4.32e-05,0.673
"1895","",0.000742,4.32e-05,1.17
"1896","ISCA1",0.000745,4.34e-05,0.599
"1897","UPF2",0.000752,4.4e-05,-0.528
"1898","KMT5B",0.000754,4.41e-05,-0.524
"1899","CTSD",0.000757,4.43e-05,0.502
"1900","PGLYRP1",0.000761,4.46e-05,1.32
"1901","FURIN",0.000769,4.51e-05,0.68
"1902","FYTTD1",0.000771,4.53e-05,-0.511
"1903","ALDOB",0.00078,4.59e-05,-0.771
"1904","TSPAN13",0.000781,4.6e-05,-0.815
"1905","VAPB",0.000789,4.64e-05,-0.516
"1906","GDE1",0.000794,4.68e-05,0.563
"1907","DPEP3",8e-04,4.73e-05,-0.707
"1908","FAM198B",0.000805,4.76e-05,0.674
"1909","RAB38",0.00081,4.8e-05,0.591
"1910","",0.000813,4.81e-05,-0.71
"1911","GOLGA7B",0.000816,4.84e-05,-0.504
"1912","GZMA",0.000826,4.9e-05,0.582
"1913","IFIT5",0.000835,4.97e-05,0.675
"1914","ATAD2",0.00084,5e-05,0.555
"1915","TRIM23",0.000841,5.01e-05,-0.534
"1916","DYSF",0.000842,5.02e-05,0.844
"1917","MBP",0.00085,5.08e-05,-0.598
"1918","",0.000859,5.13e-05,-0.541
"1919","LOC101928150",0.000869,5.2e-05,-0.599
"1920","MBOAT2",0.000873,5.23e-05,-0.618
"1921","NFAT5",0.000874,5.24e-05,-0.577
"1922","RORA",0.000885,5.31e-05,-0.501
"1923","",0.000886,5.32e-05,-0.527
"1924","",0.000888,5.34e-05,-0.577
"1925","SEPT6",0.000912,5.52e-05,-0.524
"1926","",0.000914,5.52e-05,-0.705
"1927","ASGR1",0.000925,5.61e-05,0.51
"1928","CLUAP1",0.000934,5.67e-05,-0.618
"1929","",0.000935,5.68e-05,-0.742
"1930","HNRNPA1L2",0.000935,5.68e-05,-0.501
"1931","VAV1",0.000936,5.69e-05,-0.517
"1932","BMP2K",0.000937,5.7e-05,0.504
"1933","ZNF514",0.000939,5.71e-05,-0.582
"1934","",0.000941,5.73e-05,-0.797
"1935","MMP8",0.000941,5.73e-05,1.64
"1936","TNFRSF25",0.000942,5.73e-05,-0.617
"1937","SNX1",0.00095,5.79e-05,-0.523
"1938","",0.000952,5.81e-05,-0.638
"1939","CD22",0.000958,5.85e-05,-0.577
"1940","SNORD14D",0.000961,5.87e-05,-0.565
"1941","SLC7A3",0.000964,5.89e-05,-0.604
"1942","CASP8",0.000964,5.89e-05,-0.683
"1943","",0.00097,5.93e-05,-0.57
"1944","MOB1A",0.000971,5.94e-05,0.529
"1945","STAB1",0.001,6.13e-05,0.769
"1946","CXCL8",0.001,6.14e-05,-1.27
"1947","RIN2",0.001,6.15e-05,0.601
"1948","",0.001,6.15e-05,-0.519
"1949","TFDP2",0.001,6.16e-05,0.695
"1950","CD248",0.00101,6.19e-05,-0.564
"1951","PLEKHG1",0.00101,6.21e-05,-0.502
"1952","",0.00102,6.29e-05,-0.597
"1953","SERPINB10",0.00102,6.29e-05,0.905
"1954","",0.00102,6.31e-05,-0.612
"1955","CTSL",0.00102,6.33e-05,0.685
"1956","ABCA13",0.00102,6.34e-05,1.23
"1957","PGD",0.00103,6.36e-05,0.564
"1958","LINC01252",0.00103,6.38e-05,-0.558
"1959","DSC1",0.00103,6.39e-05,-0.85
"1960","",0.00103,6.39e-05,-0.905
"1961","",0.00103,6.4e-05,-0.588
"1962","",0.00103,6.42e-05,-0.584
"1963","CDCA7L",0.00103,6.42e-05,-0.522
"1964","",0.00104,6.49e-05,0.514
"1965","",0.00105,6.53e-05,-0.578
"1966","IKZF1",0.00105,6.56e-05,-0.697
"1967","CMBL",0.00105,6.59e-05,1.22
"1968","SERPINB2",0.00106,6.64e-05,0.693
"1969","HBS1L",0.00107,6.7e-05,-0.656
"1970","PDPK1",0.00107,6.71e-05,-0.625
"1971","RORA",0.00107,6.73e-05,-0.842
"1972","BEX3",0.00109,6.86e-05,-0.641
"1973","SIGIRR",0.00109,6.87e-05,-0.555
"1974","",0.0011,6.9e-05,-0.587
"1975","CLEC4E",0.0011,6.96e-05,0.692
"1976","ALDH2",0.00111,7e-05,0.525
"1977","TNIK",0.00111,7.02e-05,-0.621
"1978","KIF1B",0.00112,7.09e-05,0.519
"1979","ERMAP",0.00113,7.15e-05,0.639
"1980","TDRD9",0.00115,7.28e-05,0.796
"1981","OAS1",0.00116,7.35e-05,1.06
"1982","XAF1",0.00116,7.38e-05,0.853
"1983","",0.00116,7.41e-05,-0.789
"1984","",0.00117,7.47e-05,-0.549
"1985","",0.00118,7.51e-05,-0.513
"1986","CAMK4",0.00118,7.51e-05,-0.524
"1987","",0.00119,7.62e-05,0.699
"1988","",0.00121,7.74e-05,0.583
"1989","BNIP3L",0.00121,7.77e-05,0.936
"1990","ZNF654",0.00121,7.78e-05,-0.517
"1991","IKBIP",0.00125,8.02e-05,-0.559
"1992","",0.00125,8.05e-05,-0.678
"1993","",0.00126,8.12e-05,-0.597
"1994","LTBR",0.00127,8.18e-05,0.529
"1995","IVD",0.00128,8.25e-05,-0.532
"1996","",0.00129,8.34e-05,-0.861
"1997","MGST1",0.00129,8.36e-05,0.632
"1998","SLC22A16",0.0013,8.4e-05,0.717
"1999","GPRC5C",0.0013,8.41e-05,0.59
"2000","CTSE",0.0013,8.46e-05,0.709
"2001","HIST1H4E",0.00131,8.51e-05,0.796
"2002","KLHL34",0.00132,8.56e-05,-0.5
"2003","MBP",0.00132,8.62e-05,-0.604
"2004","RPL32",0.00133,8.69e-05,-0.514
"2005","",0.00134,8.72e-05,-0.549
"2006","NMT2",0.00134,8.74e-05,-0.589
"2007","",0.00135,8.81e-05,0.611
"2008","TYMP",0.00136,8.88e-05,0.766
"2009","LAMP3",0.00137,8.92e-05,0.809
"2010","CENPA",0.00137,8.99e-05,0.539
"2011","",0.00139,9.08e-05,-0.569
"2012","",0.0014,9.22e-05,-0.547
"2013","RPPH1",0.0014,9.23e-05,0.801
"2014","CD40",0.00141,9.29e-05,-0.615
"2015","AP1G1",0.00141,9.31e-05,-0.528
"2016","",0.00143,9.45e-05,0.806
"2017","FAM72D",0.00143,9.48e-05,0.591
"2018","PTPRC",0.00144,9.56e-05,-0.756
"2019","CTSL",0.00146,9.7e-05,0.661
"2020","ALAS2",0.00147,9.76e-05,0.742
"2021","",0.00147,9.77e-05,-0.531
"2022","PMEPA1",0.00147,9.79e-05,-0.503
"2023","",0.00148,9.83e-05,-0.526
"2024","",0.00148,9.84e-05,-0.8
"2025","",0.00149,9.91e-05,-0.79
"2026","DOCK9",0.00149,9.91e-05,-0.512
"2027","NFIL3",0.00149,9.92e-05,0.55
"2028","F11R",0.00149,9.93e-05,0.514
"2029","",0.00149,9.93e-05,-0.777
"2030","KMO",0.00149,9.98e-05,-0.509
"2031","KLRG1",0.00151,0.000101,-0.507
"2032","",0.00151,0.000101,-0.683
"2033","HLA-DRB3",0.00153,0.000102,-0.652
"2034","",0.00155,0.000104,-0.694
"2035","AIM2",0.00155,0.000105,0.571
"2036","SMOX",0.00156,0.000105,1.22
"2037","SEPT2",0.00156,0.000105,-0.577
"2038","",0.00157,0.000106,0.67
"2039","",0.00161,0.000109,-0.594
"2040","BNIP3L",0.00161,0.000109,0.829
"2041","USP18",0.00162,0.00011,0.804
"2042","MAFB",0.00163,0.00011,0.631
"2043","SUCNR1",0.00163,0.000111,0.609
"2044","MRFAP1L1",0.00163,0.000111,-0.649
"2045","",0.00165,0.000113,-0.583
"2046","COL8A2",0.00165,0.000113,0.51
"2047","SUMO4",0.00168,0.000115,-0.68
"2048","",0.00168,0.000115,-0.65
"2049","TACSTD2",0.00171,0.000117,1.08
"2050","",0.00171,0.000117,-0.571
"2051","SPHK1",0.00172,0.000118,0.526
"2052","IL18R1",0.00172,0.000118,0.647
"2053","",0.00172,0.000119,-0.91
"2054","LTF",0.00172,0.000119,1.51
"2055","",0.00173,0.000119,-0.627
"2056","",0.00175,0.000121,-0.691
"2057","ITGAM",0.00175,0.000121,0.507
"2058","",0.00175,0.000121,-0.597
"2059","MXI1",0.00177,0.000122,0.92
"2060","BAGE5",0.00178,0.000123,-0.689
"2061","",0.00181,0.000125,-0.705
"2062","RAB2B",0.00181,0.000126,0.788
"2063","",0.00185,0.000129,-0.695
"2064","STIL",0.00185,0.000129,0.54
"2065","IFT88",0.00187,0.000131,-0.516
"2066","FAM198B",0.0019,0.000133,0.627
"2067","SUMO1",0.0019,0.000133,0.515
"2068","CYFIP1",0.0019,0.000133,0.514
"2069","LILRB2",0.0019,0.000133,0.528
"2070","CLEC4C",0.00193,0.000136,-0.654
"2071","",0.00194,0.000136,-0.638
"2072","MPP1",0.00194,0.000136,0.84
"2073","IFIT1",0.00195,0.000137,1.06
"2074","RBM4",0.00196,0.000138,-0.576
"2075","TAF1",0.00196,0.000138,-0.531
"2076","",0.00196,0.000138,-0.745
"2077","NOL10",0.00197,0.000139,-0.561
"2078","MERTK",0.00198,0.00014,0.788
"2079","",0.00198,0.00014,-0.576
"2080","",0.00199,0.000141,-0.716
"2081","DIP2A",0.00202,0.000143,-0.641
"2082","",0.00204,0.000145,-0.693
"2083","TMEM19",0.00209,0.000149,-0.523
"2084","C1QC",0.00209,0.000149,0.714
"2085","",0.0021,0.00015,-0.772
"2086","CTLA4",0.00213,0.000152,0.674
"2087","SUMF2",0.00213,0.000152,-0.679
"2088","UCP3",0.00213,0.000152,-0.506
"2089","PHACTR1",0.00217,0.000156,-0.53
"2090","IKBIP",0.00218,0.000157,-0.509
"2091","CACNA1E",0.00219,0.000157,0.819
"2092","POM121",0.00223,0.000161,-0.504
"2093","",0.00223,0.000161,0.809
"2094","SMPDL3A",0.00225,0.000162,0.739
"2095","",0.00225,0.000163,-0.622
"2096","LAPTM4B",0.00232,0.000168,0.501
"2097","HPCAL4",0.00234,0.00017,-0.538
"2098","SIRPA",0.00241,0.000176,0.574
"2099","NFAT5",0.00242,0.000176,-0.651
"2100","PRKAR1B",0.00248,0.000182,-0.57
"2101","",0.00249,0.000182,-0.891
"2102","DCTN6",0.00249,0.000183,0.515
"2103","NFE2",0.0025,0.000183,0.518
"2104","",0.00253,0.000186,-0.732
"2105","",0.00254,0.000187,-0.633
"2106","SPTA1",0.00255,0.000188,0.731
"2107","",0.00258,0.000191,-0.644
"2108","C1QTNF6",0.0026,0.000192,-0.527
"2109","COL4A3BP",0.00261,0.000193,-0.763
"2110","",0.00262,0.000194,-0.502
"2111","PYGL",0.00264,0.000196,0.629
"2112","VDR",0.00266,0.000198,0.569
"2113","FCRL5",0.00268,0.000199,-0.539
"2114","BCL2A1",0.00269,2e-04,0.657
"2115","",0.00272,0.000204,-0.622
"2116","CCNDBP1",0.00273,0.000205,0.684
"2117","",0.00274,0.000206,-0.997
"2118","",0.00278,0.000208,-0.603
"2119","",0.00279,0.00021,0.544
"2120","C16orf74",0.0028,0.000211,-0.501
"2121","",0.0028,0.000211,0.747
"2122","B3GNT5",0.00282,0.000213,0.632
"2123","SMOX",0.00283,0.000213,1.18
"2124","YOD1",0.00283,0.000214,0.81
"2125","MS4A3",0.00285,0.000216,0.872
"2126","ENTPD4",0.00288,0.000218,-0.515
"2127","DSC1",0.00289,0.000219,-0.809
"2128","TREML3P",0.0029,0.00022,0.806
"2129","JAK1",0.0029,0.00022,-0.596
"2130","HIST2H2BE",0.0029,0.00022,0.544
"2131","VAMP1",0.0029,0.00022,-0.527
"2132","",0.00291,0.000221,-1.1
"2133","",0.00296,0.000225,-0.709
"2134","",0.00302,0.000231,-0.611
"2135","",0.00306,0.000234,-0.565
"2136","PPFIA1",0.0031,0.000238,-0.537
"2137","ACKR1",0.0031,0.000238,1.14
"2138","NDRG3",0.0031,0.000239,-0.584
