"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000169248",75.7649787547656,3.80867537113151,0.450198903594936,8.45998366659361,2.67414975901689e-17,2.65878337607329e-15
"ENSG00000136514",20.8643325813382,2.66796481305111,0.316836840963476,8.42062685935776,3.74475184092454e-17,3.6153136794665e-15
"ENSG00000122641",70.0036389199289,-2.0333366776998,0.241793099336877,-8.40940739531551,4.12087433009337e-17,3.89378785105206e-15
"ENSG00000173369",354.442973175224,-2.11628606503269,0.255637331480443,-8.27847033442606,1.24767571236445e-16,1.1156230547538e-14
"ENSG00000232629",8.6709213400933,-2.42065093302252,0.292579626052319,-8.27347743136997,1.301074385543e-16,1.1556142692393e-14
"ENSG00000163710",17.9757143391851,-2.48646588841469,0.302037838118391,-8.2322993168825,1.83653660519351e-16,1.59922726738517e-14
"ENSG00000144476",13.3890655308876,-2.19516420448685,0.270316829277338,-8.12070861572097,4.63469561826977e-16,3.81160800754371e-14
"ENSG00000186318",8.00732113606646,-2.03422818428061,0.250798077590384,-8.11101984443044,5.01966559740027e-16,4.07786614354657e-14
"ENSG00000174944",24.6732918818345,2.44844825992169,0.303127146475453,8.07729788767026,6.62176512980249e-16,5.34677435299143e-14
"ENSG00000188820",69.873540752393,2.59131305290364,0.323921247258615,7.99982426232992,1.24596911239181e-15,9.82251271266037e-14
"ENSG00000154451",538.675674682914,2.01436222993495,0.253829871180752,7.9358753978192,2.09015772528013e-15,1.6004121479257e-13
"ENSG00000173372",198.626958612932,-2.0507279671804,0.261411716558697,-7.8448204012307,4.33573549704318e-15,3.17390132017068e-13
"ENSG00000159640",23.2447680224018,-2.09656354216754,0.268616934448971,-7.80503115512182,5.94868477384065e-15,4.23819931774754e-13
"ENSG00000050820",21.4471372380721,-2.29638404555019,0.298333538545961,-7.6973713942538,1.38893763452129e-14,9.53737442792943e-13
"ENSG00000138771",12.2483559543878,-2.31667892752878,0.301058139385408,-7.69512138837415,1.41359907239917e-14,9.60295319743477e-13
"ENSG00000214063",19.4110527026354,-2.01083585567371,0.262879668056972,-7.64926352249469,2.02133627477348e-14,1.31367137506376e-12
"ENSG00000150764",8.51272634394326,-2.14364149666252,0.281058318054513,-7.62703452970481,2.4021526746001e-14,1.53128612840656e-12
"ENSG00000035720",10.629218417181,2.72333272162624,0.362108127815746,7.52077214630205,5.44536781138545e-14,3.32791905280222e-12
"ENSG00000119514",11.6979000095209,-2.42672209505989,0.323882669351946,-7.49259631555925,6.75243428135567e-14,4.07070958961546e-12
"ENSG00000241956",71.1563037923472,-2.18158574250433,0.295463039158058,-7.38361640332714,1.54046862716579e-13,8.77079637595293e-12
"ENSG00000121570",14.9207221812628,-2.25682948657008,0.309433214377352,-7.29342999299969,3.02161760674901e-13,1.66351286672384e-11
"ENSG00000135119",15.9436523074841,-2.21689046547208,0.30617150004895,-7.24068198744055,4.46434094120096e-13,2.3509254687597e-11
"ENSG00000145649",16.7441385675558,2.55276040602646,0.357328549883416,7.14401468021332,9.06437143995741e-13,4.54002333438168e-11
"ENSG00000237125",17.2308067398088,-2.47676164510193,0.346732221231753,-7.14315397716234,9.12133502173607e-13,4.55144368893594e-11
"ENSG00000151474",32.6041934837122,-2.40804794911225,0.339326681172907,-7.09654761243253,1.27911893135962e-12,6.2423815100748e-11
"ENSG00000058085",13.0979576606168,-2.05867322133193,0.296256049984287,-6.948966009103,3.67973186612768e-12,1.64513649840332e-10
"ENSG00000115155",20.7897342343725,2.57225997580223,0.370594356234152,6.94090434063976,3.89597770644667e-12,1.73599033387923e-10
"ENSG00000102794",101.865070587253,2.14305044908382,0.309392628266815,6.92663707305814,4.30962300338983e-12,1.91390357580542e-10
"ENSG00000128536",25.3370500493906,-2.05739305541984,0.297122901454023,-6.92438396822199,4.37876766833597e-12,1.93173250480928e-10
"ENSG00000274422",33.642641149115,-2.28784735104303,0.330621719294562,-6.91983380863345,4.52173795319322e-12,1.98822160892387e-10
"ENSG00000130203",276.375299638417,-2.08801434980197,0.303839258950666,-6.87210190352986,6.3262734580365e-12,2.66891211197776e-10
"ENSG00000149021",728.174315140712,-2.74540426799458,0.401425509142195,-6.83913753727617,7.96713677887195e-12,3.29646469891028e-10
"ENSG00000249614",85.8373084559654,-2.28471681764404,0.337319232370684,-6.77315906830164,1.26000282820122e-11,5.05633062654362e-10
"ENSG00000088367",16.4769074240711,-2.08065624554099,0.307318680913026,-6.7703539510175,1.28467711335917e-11,5.12447700038451e-10
"ENSG00000115457",27.4262596043948,-2.01667733956661,0.29899822836352,-6.7447802303188,1.53258822775104e-11,6.0054920465668e-10
"ENSG00000102962",7.85005940513479,-2.00185103361549,0.297544236583196,-6.72791063474608,1.72116568939055e-11,6.72465996473617e-10
"ENSG00000113140",12.9735259546183,-2.52451076978803,0.382168883664108,-6.60574651076733,3.95519163026373e-11,1.44766533214296e-09
"ENSG00000160401",15.9083186715552,-2.12355945845563,0.322150059207706,-6.5918332086553,4.34428500747426e-11,1.57279644441792e-09
"ENSG00000224789",17.2020388229332,2.15435677096635,0.329827417297429,6.53176982259064,6.49969953984045e-11,2.29696278433141e-09
"ENSG00000133138",16.9380669574329,-2.0006852483669,0.307335290731281,-6.50978038872928,7.52607520666254e-11,2.58427577263827e-09
"ENSG00000138755",22.5205963345238,2.05446158678282,0.317476044144725,6.47123341957186,9.72061342683375e-11,3.24580783673449e-09
"ENSG00000258521",16.5098165835515,2.19468392209628,0.339932520425972,6.45623407653408,1.07340540053153e-10,3.54863031049171e-09
"ENSG00000181031",16.4594203329488,-2.13219341220354,0.331709288910443,-6.42789781138509,1.29380665200138e-10,4.15358699388299e-09
"ENSG00000286918",16.9606503642566,-2.13640305230408,0.332685820292101,-6.42168352840618,1.34775392580957e-10,4.30602531260454e-09
"ENSG00000277511",6.24768661385522,2.41341816716735,0.377181574508635,6.39855796326047,1.56851200652739e-10,4.88378793067058e-09
"ENSG00000224666",11.3145339477204,4.0415058897437,0.634470565703652,6.36988712827287,1.89167361893304e-10,5.79373968391837e-09
"ENSG00000187492",12.0054013157426,-2.06884136039965,0.327789312459191,-6.31149729952595,2.76348624758437e-10,8.16362023870654e-09
"ENSG00000179915",25.5673862968169,-3.28495551917497,0.524135301662816,-6.26738078651346,3.6717152007796e-10,1.04750024882198e-08
"ENSG00000215018",12.1019672793481,-2.15565576423873,0.34575224105638,-6.23468341854425,4.5269263960217e-10,1.25650500779577e-08
"ENSG00000004799",11.5142184931253,-2.01244513903555,0.324616479637622,-6.19945463422589,5.66591455529113e-10,1.54370101472687e-08
"ENSG00000103260",8.07149728206187,-2.03727887172772,0.330399586876351,-6.16610598998768,6.99921789485225e-10,1.86501160026233e-08
