"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000111335",2.76559117632838,7.74223426048149,86.2522779369164,1.58384855128744e-20,2.18062704246389e-18
"ENSG00000177721",3.36112682373969,3.81850282160389,85.8850567550307,1.90704449552569e-20,2.59358051391494e-18
"ENSG00000137628",2.38624813071503,6.45982499795149,85.0883975130154,2.85319873257519e-20,3.69986886810215e-18
"ENSG00000124256",2.74272176284298,7.18146125920079,84.9265703064619,3.09653886100787e-20,3.92492068840966e-18
"ENSG00000068079",2.04272578708296,6.71468342351065,84.0748372631697,4.76395673043224e-20,5.95244826930081e-18
"ENSG00000187608",3.75328328609428,10.9955114530801,83.9968162996015,4.95572176147217e-20,6.00719663955844e-18
"ENSG00000010030",2.68997736380501,4.64003795343831,83.1263680292486,7.69720770395875e-20,9.13183620367532e-18
"ENSG00000184465",-2.46678226574967,3.86397441654865,82.9128170906947,8.5753342971368e-20,9.96168000850725e-18
"ENSG00000121858",2.75385492411576,8.2960544391135,82.7828208699829,9.15824666181701e-20,1.05291512136684e-17
"ENSG00000089127",2.6599867136045,7.80072857347836,82.0476494034084,1.32845071003519e-19,1.48148823183124e-17
"ENSG00000179144",2.52234760961306,4.01132178547993,81.8899289176584,1.4388059163203e-19,1.57309446851019e-17
"ENSG00000168016",2.26510717900466,5.88448687532228,81.772102945142,1.52719063012103e-19,1.63761826029901e-17
"ENSG00000134321",3.8596585847451,9.64953741005297,80.9719178452169,2.28948121729552e-19,2.40870703163016e-17
"ENSG00000134326",3.07231917975848,7.28700046140409,80.8888998958732,2.38771099646307e-19,2.48857504977161e-17
"ENSG00000184979",3.64167318411618,6.09286711881315,80.4423833592822,2.99306043773956e-19,3.06288861361833e-17
"ENSG00000228318",3.54491374279106,5.1098838145022,79.9577361118007,3.82504604008012e-19,3.87790122172486e-17
"ENSG00000135114",2.40810540226136,7.11185670034876,79.5304813426231,4.7484273576431e-19,4.77067224256179e-17
"ENSG00000100453",3.13057613801912,6.48541917913533,79.1774840475059,5.67734393004122e-19,5.65301245605533e-17
"ENSG00000059378",2.0616951688501,7.20554381186842,78.9235208434317,6.4561499587017e-19,6.37159153446384e-17
"ENSG00000185338",2.62306448583019,5.99482350165902,77.3826761112964,1.40845180950164e-18,1.30892121496352e-16
"ENSG00000163735",-2.50279039194492,6.44240237902815,77.0262912451049,1.68697222451198e-18,1.54205854489817e-16
"ENSG00000136514",3.01152091002304,4.12943737982757,73.4236177186594,1.04606889284986e-17,8.77124834064784e-16
"ENSG00000110848",2.86013878481339,7.51032895413391,72.9970578390515,1.29843252287182e-17,1.04928402138164e-15
"ENSG00000173369",-2.00392839887693,8.04132084272902,71.597886879681,2.63839078399937e-17,2.01529685090144e-15
"ENSG00000163710",-2.25012465383854,3.76569224873383,71.2062245619291,3.21771365694842e-17,2.39226284681925e-15
"ENSG00000197779",-2.14342349542921,4.64606122216489,70.7263949031792,4.10365240913897e-17,2.93358536325114e-15
"ENSG00000138642",2.35477474882157,5.28137813976021,70.3195464392268,5.04354706369256e-17,3.58252464040124e-15
"ENSG00000119636",-2.74229352579854,4.24949833576388,69.5865102961675,7.31353783406969e-17,5.03460332873736e-15
"ENSG00000152766",2.0106197508592,4.99976756157781,69.0166420485407,9.76360681671912e-17,6.639252635369e-15
"ENSG00000232035",-2.68228708842754,10.2965693080009,66.3858792672674,3.70748587346112e-16,2.37620014142749e-14
"ENSG00000144476",-2.05446927223894,3.49974825996651,65.9912334296095,4.5293307485228e-16,2.85373426596194e-14
"ENSG00000188820",3.00083345208685,5.81404539277706,65.2090692230999,6.73588154625526e-16,4.19656709518651e-14
"ENSG00000160932",2.17262733151206,8.64987543157124,64.4463746714368,9.91957047629603e-16,6.14572499731408e-14
"ENSG00000050820",-2.07325997163113,3.93990063101285,64.3191345879424,1.05813102966396e-15,6.51949018939916e-14
"ENSG00000138771",-2.0758475732627,3.20897618477437,64.1672782762865,1.14291269111319e-15,6.96489744879469e-14
"ENSG00000284634",-2.05751721849771,4.23964711185302,63.8819497553119,1.32102481801152e-15,7.87811164195959e-14
"ENSG00000225964",2.33368656997726,4.48631606525684,62.9010759447174,2.1735346101969e-15,1.2494462872637e-13
"ENSG00000182809",-2.10422725581245,4.47324203515284,61.5588312620528,4.29709983389559e-15,2.37233947265365e-13
"ENSG00000154451",2.25229426769507,8.77010613891183,60.9131983581728,5.96476058616389e-15,3.24482975887316e-13
"ENSG00000117228",2.09955793462972,9.66031961954508,60.1873561059205,8.62444373280484e-15,4.49438301440372e-13
"ENSG00000151474",-2.28677323781822,4.49994979540251,59.8956521387041,1.00022167382933e-14,5.16410745673363e-13
